,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
0,KR7098120009,A098120,(주)마이크로컨텍솔루션,마이크로컨텍솔,"Micro Contact Solution Co.,Ltd.",2008/09/23,KOSDAQ,주권,벤처기업부,보통주,500,8312766
1,KR7131100000,A131100,(주)스카이이앤엠,스카이이앤엠,"SKY E&M Co., Ltd.",2011/06/14,KOSDAQ,주권,관리종목(소속부없음),보통주,100,53703566
2,KR7009520008,A009520,(주)포스코엠텍,포스코엠텍,"POSCO M-TECH CO.,LTD.",1997/11/10,KOSDAQ,주권,우량기업부,보통주,500,41642703
3,KR7095570008,A095570,AJ네트웍스보통주,AJ네트웍스,"AJ Networks Co.,Ltd.",2015/08/21,KOSPI,주권,,보통주,1000,46822295
4,KR7006840003,A006840,AK홀딩스보통주,AK홀딩스,"AK Holdings, Inc.",1999/08/11,KOSPI,주권,,보통주,5000,13247561
5,KR7282330000,A282330,BGF리테일보통주,BGF리테일,BGF Retail,2017/12/08,KOSPI,주권,,보통주,1000,17283906
6,KR7027410000,A027410,BGF보통주,BGF,BGF,2014/05/19,KOSPI,주권,,보통주,1000,95716791
7,KR7138930003,A138930,BNK금융지주보통주,BNK금융지주,BNK Financial Group Inc.,2011/03/30,KOSPI,주권,,보통주,5000,325935246
8,KR7001461003,A001465,BYC1우선주,BYC우,BYC(1P),1989/09/05,KOSPI,주권,,구형우선주,5000,215385
9,KR7001460005,A001460,BYC보통주,BYC,BYC,1975/06/02,KOSPI,주권,,보통주,5000,624615
10,KR7001041003,A001045,CJ1우선주,CJ우,CJ(1P),1989/08/18,KOSPI,주권,,구형우선주,5000,2260223
11,KR700104K010,A00104K,CJ4우선주(전환),CJ4우(전환),CJ(4PC),2019/08/09,KOSPI,주권,,신형우선주,5000,4226512
12,KR7001040005,A001040,CJ보통주,CJ,CJ Corp.,1973/06/29,KOSPI,주권,,보통주,5000,29176998
13,KR7011151008,A011155,CJ씨푸드1우선주,CJ씨푸드1우,CJSEAFOODCORPORATION(1P),1990/01/13,KOSPI,주권,,구형우선주,500,200000
14,KR7011150000,A011150,CJ씨푸드보통주,CJ씨푸드,CJSEAFOODCORPORATION,1988/11/26,KOSPI,주권,,보통주,500,35930773
15,KR7058820002,A058820,CMG제약,CMG제약,"CMG Pharmaceutical Co., Ltd.",2001/08/31,KOSDAQ,주권,우량기업부,보통주,500,138892244
16,KR7000590000,A000590,CS홀딩스보통주,CS홀딩스,CSHOLDINGS,1975/12/22,KOSPI,주권,,보통주,5000,1154482
17,KR7012030003,A012030,DB Inc.보통주,DB,DB Inc.,1993/01/06,KOSPI,주권,,보통주,500,201173933
18,KR7016610008,A016610,DB금융투자보통주,DB금융투자,"DB Financial Investment Co., LTD.",1988/06/27,KOSPI,주권,,보통주,5000,42446389
19,KR7005830005,A005830,DB손해보험보통주,DB손해보험,DB INSURANCE,1973/06/28,KOSPI,주권,,보통주,500,70800000
20,KR7000991000,A000995,DB하이텍1우선주,DB하이텍1우,"DB HiTek Co.,LTD(1P)",2007/05/21,KOSPI,주권,,구형우선주,5000,112316
21,KR7000990002,A000990,DB하이텍보통주,DB하이텍,"DB HiTek Co.,LTD",1975/12/12,KOSPI,주권,,보통주,5000,44398588
22,KR7139130009,A139130,DGB금융지주보통주,DGB금융지주,DGB Financial Group,2011/06/07,KOSPI,주권,,보통주,5000,169145833
23,KR7001530005,A001530,DI동일보통주,DI동일,DI DONGIL,1964/01/04,KOSPI,주권,,보통주,5000,2510655
24,KR7000211003,A000215,DL1우선주,DL우,DL(1P),1989/08/21,KOSPI,주권,,구형우선주,5000,1686115
25,KR7001880004,A001880,DL건설보통주,DL건설,DLConstruction,1977/12/22,KOSPI,주권,,보통주,5000,22053284
26,KR7000210005,A000210,DL보통주,DL,DL,1976/02/02,KOSPI,주권,,보통주,5000,20955884
27,KR737550K011,A37550K,DL이앤씨1우선주,DL이앤씨우,"DL E&C CO., LTD.(1P)",2021/01/25,KOSPI,주권,,종류주권,5000,2113885
28,KR7375500006,A375500,DL이앤씨보통주,DL이앤씨,"DL E&C CO., LTD.",2021/01/25,KOSPI,주권,,보통주,5000,19358738
29,KR7155660004,A155660,DSR보통주,DSR,DSR CORP,2013/05/15,KOSPI,주권,,보통주,500,16000000
30,KR7069730000,A069730,DSR제강보통주,DSR제강,DSRWIRECORP,2003/01/28,KOSPI,주권,,보통주,500,14400000
31,KR7017940008,A017940,E1보통주,E1,E1Corporation,1997/08/27,KOSPI,주권,,보통주,5000,6860000
32,KR7365550003,A365550,ESR켄달스퀘어리츠보통주,ESR켄달스퀘어리츠,ESR KENDALL SQUARE REIT,2020/12/23,KOSPI,부동산투자회사,,보통주,1000,143259000
33,KR7050120005,A050120,ES큐브,ES큐브,ES CUBE,2002/04/25,KOSDAQ,주권,중견기업부,보통주,5000,13564086
34,KR7383220001,A383220,F&F보통주,F&F,F&F,2021/05/21,KOSPI,주권,,보통주,500,7661415
35,KR7007700008,A007700,F&F홀딩스,F&F홀딩스,F&F Holdings,1984/10/04,KOSPI,주권,,보통주,500,39114367
36,KR7078931003,A078935,GS1우선주,GS우,GS Holdings(1P),2004/08/05,KOSPI,주권,,구형우선주,5000,1784826
37,KR7006360002,A006360,GS건설보통주,GS건설,GS Engineering & Construction Corp,1981/08/03,KOSPI,주권,,보통주,5000,85581490
38,KR7078930005,A078930,GS보통주,GS,GS Holdings,2004/08/05,KOSPI,주권,,보통주,5000,92915378
39,KR7012630000,A012630,HDC보통주,HDC,"HDC HOLDINGS CO.,Ltd",1996/10/16,KOSPI,주권,,보통주,5000,59741721
40,KR7294870001,A294870,HDC현대산업개발보통주,HDC현대산업개발,HYUNDAI DEVELOPMENT COMPANY,2018/06/12,KOSPI,주권,,보통주,5000,65907330
41,KR7003560000,A003560,IHQ보통주,IHQ,IHQ,1973/12/18,KOSPI,주권,,보통주,500,146235748
