,종목코드,종목명
0,A282330,BGF리테일
1,A138930,BNK금융지주
2,A001040,CJ
3,A079160,CJ CGV
4,A000120,CJ대한통운
5,A097950,CJ제일제당
6,A005830,DB손해보험
7,A000990,DB하이텍
8,A000210,DL
9,A375500,DL이앤씨
10,A007700,F&F홀딩스
11,A114090,GKL
12,A078930,GS
13,A006360,GS건설
14,A007070,GS리테일
15,A294870,HDC현대산업개발
16,A011200,HMM
17,A105560,KB금융
18,A002380,KCC
19,A016380,KG동부제철
20,A030200,KT
21,A033780,KT&G
22,A003550,LG
23,A034220,LG디스플레이
24,A051900,LG생활건강
25,A032640,LG유플러스
26,A011070,LG이노텍
27,A066570,LG전자
28,A051910,LG화학
29,A079550,LIG넥스원
30,A006260,LS
31,A010120,LS ELECTRIC
32,A001120,LX인터내셔널
33,A108670,LX하우시스
34,A383800,LX홀딩스
35,A035420,NAVER
36,A005940,NH투자증권
37,A010060,OCI
38,A005490,POSCO
39,A010950,S-Oil
40,A034730,SK
41,A011790,SKC
42,A001740,SK네트웍스
43,A006120,SK디스커버리
44,A302440,SK바이오사이언스
45,A326030,SK바이오팜
46,A361610,SK아이이테크놀로지
47,A096770,SK이노베이션
48,A285130,SK케미칼
49,A017670,SK텔레콤
50,A000660,SK하이닉스
51,A064960,SNT모티브
52,A035250,강원랜드
53,A010130,고려아연
54,A011780,금호석유
55,A073240,금호타이어
56,A000270,기아
57,A024110,기업은행
58,A002350,넥센타이어
59,A251270,넷마블
60,A006280,녹십자
61,A005250,녹십자홀딩스
62,A004370,농심
63,A001680,대상
64,A047040,대우건설
65,A042660,대우조선해양
66,A003090,대웅
67,A069620,대웅제약
68,A006650,대한유화
69,A001440,대한전선
70,A003490,대한항공
71,A192080,더블유게임즈
72,A001230,동국제강
73,A026960,동서
74,A049770,동원F&B
75,A006040,동원산업
76,A014820,동원시스템즈
77,A000150,두산
78,A241560,두산밥캣
79,A034020,두산중공업
80,A336260,두산퓨얼셀
81,A032350,롯데관광개발
82,A023530,롯데쇼핑
83,A004000,롯데정밀화학
84,A004990,롯데지주
85,A005300,롯데칠성
86,A011170,롯데케미칼
87,A071840,롯데하이마트
88,A204320,만도
89,A008560,메리츠증권
90,A006800,미래에셋증권
91,A003850,보령제약
92,A003000,부광약품
93,A006400,삼성SDI
94,A028260,삼성물산
95,A207940,삼성바이오로직스
96,A032830,삼성생명
97,A018260,삼성에스디에스
98,A028050,삼성엔지니어링
99,A009150,삼성전기
100,A005930,삼성전자
101,A010140,삼성중공업
102,A016360,삼성증권
103,A029780,삼성카드
104,A000810,삼성화재
105,A003230,삼양식품
106,A000070,삼양홀딩스
107,A004490,세방전지
108,A068270,셀트리온
109,A004170,신세계
110,A031430,신세계인터내셔날
111,A019170,신풍제약
112,A055550,신한지주
113,A003410,쌍용C&E
114,A112610,씨에스윈드
115,A002790,아모레G
116,A090430,아모레퍼시픽
117,A020560,아시아나항공
118,A010780,아이에스동서
119,A012750,에스원
120,A036570,엔씨소프트
121,A111770,영원무역
122,A003520,영진약품
123,A000670,영풍
124,A007310,오뚜기
125,A271560,오리온
126,A001800,오리온홀딩스
127,A316140,우리금융지주
128,A000100,유한양행
129,A214320,이노션
130,A139480,이마트
131,A007570,일양약품
132,A020150,일진머티리얼즈
133,A030000,제일기획
134,A185750,종근당
135,A013890,지누스
136,A035720,카카오
137,A323410,카카오뱅크
138,A192820,코스맥스
139,A120110,코오롱인더
140,A021240,코웨이
141,A192400,쿠쿠홀딩스
142,A284740,쿠쿠홈시스
143,A259960,크래프톤
144,A039490,키움증권
145,A003240,태광산업
146,A028670,팬오션
147,A047050,포스코인터내셔널
148,A003670,포스코케미칼
149,A103140,풍산
150,A086790,하나금융지주
151,A352820,하이브
152,A000080,하이트진로
153,A036460,한국가스공사
154,A071050,한국금융지주
155,A000240,한국앤컴퍼니
156,A015760,한국전력
157,A009540,한국조선해양
158,A161890,한국콜마
159,A161390,한국타이어앤테크놀로지
160,A047810,한국항공우주
161,A008930,한미사이언스
162,A128940,한미약품
163,A009240,한샘
164,A020000,한섬
165,A105630,한세실업
166,A014680,한솔케미칼
167,A018880,한온시스템
168,A009420,한올바이오파마
169,A051600,한전KPS
170,A052690,한전기술
171,A180640,한진칼
172,A000880,한화
173,A088350,한화생명
174,A009830,한화솔루션
175,A272210,한화시스템
176,A012450,한화에어로스페이스
177,A000720,현대건설
178,A005440,현대그린푸드
179,A086280,현대글로비스
180,A042670,현대두산인프라코어
181,A064350,현대로템
182,A012330,현대모비스
183,A010620,현대미포조선
184,A069960,현대백화점
185,A017800,현대엘리베이
186,A011210,현대위아
187,A004020,현대제철
188,A267250,현대중공업지주
189,A005380,현대차
190,A001450,현대해상
191,A057050,현대홈쇼핑
192,A008770,호텔신라
193,A241590,화승엔터프라이즈
194,A004800,효성
195,A298050,효성첨단소재
196,A298020,효성티앤씨
197,A093370,후성
198,A081660,휠라홀딩스
199,A069260,휴켐스
