,종목코드,종목명
0,A006840,AK홀딩스
1,A027410,BGF
2,A282330,BGF리테일
3,A138930,BNK금융지주
4,A001040,CJ
5,A079160,CJ CGV
6,A000120,CJ대한통운
7,A097950,CJ제일제당
8,A005830,DB손해보험
9,A000990,DB하이텍
10,A114090,GKL
11,A078930,GS
12,A006360,GS건설
13,A007070,GS리테일
14,A001060,JW중외제약
15,A096760,JW홀딩스
16,A105560,KB금융
17,A002380,KCC
18,A030200,KT
19,A033780,KT&G
20,A093050,LF
21,A003550,LG
22,A034220,LG디스플레이
23,A001120,LG상사
24,A051900,LG생활건강
25,A032640,LG유플러스
26,A011070,LG이노텍
27,A066570,LG전자
28,A108670,LG하우시스
29,A051910,LG화학
30,A079550,LIG넥스원
31,A006260,LS
32,A010120,LS산전
33,A035420,NAVER
34,A005940,NH투자증권
35,A010060,OCI
36,A005490,POSCO
37,A064960,S&T모티브
38,A010950,S-Oil
39,A034120,SBS
40,A034730,SK
41,A011790,SKC
42,A001740,SK네트웍스
43,A096770,SK이노베이션
44,A006120,SK케미칼
45,A017670,SK텔레콤
46,A000660,SK하이닉스
47,A005610,SPC삼립
48,A035250,강원랜드
49,A000050,경방
50,A010130,고려아연
51,A002240,고려제강
52,A009290,광동제약
53,A011780,금호석유
54,A073240,금호타이어
55,A000270,기아차
56,A024110,기업은행
57,A003920,남양유업
58,A025860,남해화학
59,A002350,넥센타이어
60,A251270,넷마블게임즈
61,A006280,녹십자
62,A005250,녹십자홀딩스
63,A004370,농심
64,A019680,대교
65,A008060,대덕전자
66,A000210,대림산업
67,A001680,대상
68,A047040,대우건설
69,A069620,대웅제약
70,A006650,대한유화
71,A003490,대한항공
72,A001230,동국제강
73,A026960,동서
74,A000640,동아쏘시오홀딩스
75,A170900,동아에스티
76,A001520,동양
77,A049770,동원F&B
78,A014820,동원시스템즈
79,A000150,두산
80,A042670,두산인프라코어
81,A034020,두산중공업
82,A115390,락앤락
83,A023530,롯데쇼핑
84,A004000,롯데정밀화학
85,A004990,롯데지주
86,A005300,롯데칠성
87,A011170,롯데케미칼
88,A002270,롯데푸드
89,A204320,만도
90,A008560,메리츠종금증권
91,A033920,무학
92,A006800,미래에셋대우
93,A003850,보령제약
94,A003000,부광약품
95,A005180,빙그레
96,A006400,삼성SDI
97,A028260,삼성물산
98,A207940,삼성바이오로직스
99,A032830,삼성생명
100,A018260,삼성에스디에스
101,A028050,삼성엔지니어링
102,A009150,삼성전기
103,A005930,삼성전자
104,A010140,삼성중공업
105,A016360,삼성증권
106,A029780,삼성카드
107,A000810,삼성화재
108,A145990,삼양사
109,A000070,삼양홀딩스
110,A004490,세방전지
111,A001430,세아베스틸
112,A003030,세아제강
113,A029530,신도리코
114,A004170,신세계
115,A055550,신한지주
116,A003410,쌍용양회
117,A003620,쌍용차
118,A002790,아모레G
119,A090430,아모레퍼시픽
120,A010780,아이에스동서
121,A005850,에스엘
122,A012750,에스원
123,A078520,에이블씨엔씨
124,A036570,엔씨소프트
125,A111770,영원무역
126,A003520,영진약품
127,A000670,영풍
128,A007310,오뚜기
129,A271560,오리온
130,A001800,오리온홀딩스
131,A000030,우리은행
132,A014830,유니드
133,A000100,유한양행
134,A214320,이노션
135,A139480,이마트
136,A007570,일양약품
137,A020150,일진머티리얼즈
138,A030000,제일기획
139,A185750,종근당
140,A035720,카카오
141,A192820,코스맥스
142,A120110,코오롱인더
143,A021240,코웨이
144,A192400,쿠쿠전자
145,A003240,태광산업
146,A036580,팜스코
147,A028670,팬오션
148,A047050,포스코대우
149,A103140,풍산
150,A086790,하나금융지주
151,A000080,하이트진로
152,A036460,한국가스공사
153,A071050,한국금융지주
154,A025540,한국단자
155,A002960,한국쉘석유
156,A015760,한국전력
157,A161890,한국콜마
158,A161390,한국타이어
159,A000240,한국타이어월드와이드
160,A047810,한국항공우주
161,A060980,한라홀딩스
162,A008930,한미사이언스
163,A128940,한미약품
164,A009240,한샘
165,A020000,한섬
166,A105630,한세실업
167,A014680,한솔케미칼
168,A004710,한솔테크닉스
169,A018880,한온시스템
170,A009420,한올바이오파마
171,A003300,한일시멘트
172,A051600,한전KPS
173,A052690,한전기술
174,A097230,한진중공업
175,A000880,한화
176,A088350,한화생명
177,A009830,한화케미칼
178,A012450,한화테크윈
179,A000720,현대건설
180,A005440,현대그린푸드
181,A086280,현대글로비스
182,A267250,현대로보틱스
183,A064350,현대로템
184,A079430,현대리바트
185,A012330,현대모비스
186,A010620,현대미포조선
187,A069960,현대백화점
188,A012630,현대산업
189,A017800,현대엘리베이
190,A011210,현대위아
191,A004020,현대제철
192,A009540,현대중공업
193,A005380,현대차
194,A001450,현대해상
195,A057050,현대홈쇼핑
196,A008770,호텔신라
197,A004800,효성
198,A093370,후성
199,A069260,휴켐스
